Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-away,7.5,step,2.6581e-12,9.0013
DG-PCB001,both-away,7.5,step,1.943e-12,8.5012
DG-PCB001,both-away,7.5,step,-1.82e-11,8.0008
DG-PCB001,both-away,7.5,step,-2.52e-11,7.5005
DG-PCB001,both-away,7.5,step,-4.21e-11,7.0001
DG-PCB001,both-away,7.5,step,-4.91e-11,6.4999
DG-PCB001,both-away,7.5,step,-4.77e-11,6.0001
DG-PCB001,both-away,7.5,step,-6.7e-11,5.4998
DG-PCB001,both-away,7.5,step,-7.82e-11,4.9999
DG-PCB001,both-away,7.5,step,-9.53e-11,4.4995
DG-PCB001,both-away,7.5,step,-9.24e-11,3.9989
DG-PCB001,both-away,7.5,step,-1.09e-10,3.4989
DG-PCB001,both-away,7.5,step,-1.17e-10,2.9984
DG-PCB001,both-away,7.5,step,-1.29e-10,2.4984
DG-PCB001,both-away,7.5,step,-1.36e-10,2.0013
DG-PCB001,both-away,7.5,step,-1.46e-10,1.5012
DG-PCB001,both-away,7.5,step,-1.56e-10,1.0007
DG-PCB001,both-away,7.5,step,-1.68e-10,0.500527
DG-PCB001,both-away,7.5,step,-1.77e-10,0.000203446
DG-PCB001,both-away,7.5,step,-1.94e-10,-0.499
DG-PCB001,both-away,7.5,step,-1.91e-10,-0.999
DG-PCB001,both-away,7.5,step,-2.1e-10,-1.5
DG-PCB001,both-away,7.5,step,-2.12e-10,-2.0
DG-PCB001,both-away,7.5,step,-2.25e-10,-2.5
DG-PCB001,both-away,7.5,step,-2.43e-10,-3.0
DG-PCB001,both-away,7.5,step,-2.41e-10,-3.5
DG-PCB001,both-away,7.5,step,-2.58e-10,-4.0
DG-PCB001,both-away,7.5,step,-2.66e-10,-4.5
DG-PCB001,both-away,7.5,step,-2.76e-10,-5.0
DG-PCB001,both-away,7.5,step,-2.86e-10,-5.5
DG-PCB001,both-away,7.5,step,-2.97e-10,-6.0
DG-PCB001,both-away,7.5,step,-3.08e-10,-6.5
DG-PCB001,both-away,7.5,step,-3.24e-10,-7.0
DG-PCB001,both-away,7.5,step,-3.37e-10,-7.5
DG-PCB001,both-away,7.5,step,-3.48e-10,-8.0
DG-PCB001,both-away,7.5,step,-3.56e-10,-8.5
DG-PCB001,both-away,7.5,step,-3.6e-10,-9.0
DG-PCB001,both-away,7.5,step,-3.71e-10,-9.5
DG-PCB001,both-away,7.5,step,-3.83e-10,-10.0
DG-PCB001,both-away,7.5,step,-3.94e-10,-10.5
DG-PCB001,both-away,7.5,step,-4.12e-10,-11.0
DG-PCB001,both-away,7.5,step,-4.34e-10,-11.5
DG-PCB001,both-away,7.5,step,-4.44e-10,-12.0
DG-PCB001,both-away,7.5,step,-4.56e-10,-12.5
DG-PCB001,both-away,7.5,step,-4.7e-10,-13.0
DG-PCB001,both-away,7.5,step,-4.82e-10,-13.5
DG-PCB001,both-away,7.5,step,-4.91e-10,-14.0
DG-PCB001,both-away,7.5,step,-5.07e-10,-14.5
DG-PCB001,both-away,7.5,step,-5.23e-10,-15.0
DG-PCB001,both-away,7.5,step,-5.33e-10,-15.5
DG-PCB001,both-away,7.5,step,-5.41e-10,-16.0
DG-PCB001,both-away,7.5,step,-5.74e-10,-16.5
DG-PCB001,both-away,7.5,step,-5.87e-10,-17.0
DG-PCB001,both-away,7.5,step,-6e-10,-17.5
DG-PCB001,both-away,7.5,step,-6.25e-10,-18.0
DG-PCB001,both-away,7.5,step,-6.43e-10,-18.5
DG-PCB001,both-away,7.5,step,-6.61e-10,-19.0
DG-PCB001,both-away,7.5,step,-6.78e-10,-19.5
DG-PCB001,both-away,7.5,step,-6.9e-10,-20.0
